name,ltkb_id,concern,score,smiles,inchikey,source
Amiodarone,,curated-Most,0.9,CCCCOc1ccccc1C(=O)c1oc(CCN(CC)CC)c(I)c1CCCC,ONTTUONJMUPHEZ-UHFFFAOYSA-N,FDA_DILIrank_curated
Diclofenac,,curated-Most,0.9,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,DCOPUUMXTXDBNB-UHFFFAOYSA-N,FDA_DILIrank_curated
Ketoconazole,,vMost-DILI-concern,0.9,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,FDA_DILIrank_curated
Troglitazone,,vMost-DILI-concern,0.9,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,GXPHKUHSUJUWKP-UHFFFAOYSA-N,FDA_DILIrank_curated
Acetaminophen,,vMost-DILI-concern,0.9,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,FDA_DILIrank_curated
Valproic acid,,vMost-DILI-concern,0.9,CCCC(CCC)C(=O)O,NIJJYAXOARWZEE-UHFFFAOYSA-N,FDA_DILIrank_curated
Isoniazid,,vMost-DILI-concern,0.9,NNC(=O)c1ccncc1,QRXWMOHMRWLFEY-UHFFFAOYSA-N,FDA_DILIrank_curated
Nitrofurantoin,,vMost-DILI-concern,0.9,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,NXFQHRVNIOXGAQ-YCRREMRBSA-N,FDA_DILIrank_curated
Phenytoin,,vMost-DILI-concern,0.9,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CXOFVDLJLONNDW-UHFFFAOYSA-N,FDA_DILIrank_curated
Tolcapone,,vMost-DILI-concern,0.9,CC(=O)c1ccc(-c2cc(O)c(O)c([N+](=O)[O-])c2)cc1O,OZYSUTXPJOYDTA-UHFFFAOYSA-N,FDA_DILIrank_curated
Flutamide,,vMost-DILI-concern,0.9,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,MKXKFYHWDHIYRV-UHFFFAOYSA-N,FDA_DILIrank_curated
Disulfiram,,vMost-DILI-concern,0.9,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,FDA_DILIrank_curated
Chlorpromazine,,curated-Most,0.9,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,FDA_DILIrank_curated
Methyldopa,,vMost-DILI-concern,0.9,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,CJCSPKMFHVPWAR-JTQLQIEISA-N,FDA_DILIrank_curated
Labetaolol,,curated-Most,0.55,CC(C)NCC(O)c1ccc(O)c(C(=O)NCc2ccccc2)c1,HYMSNGDBNBOEKH-UHFFFAOYSA-N,FDA_DILIrank_curated
Nevirapine,,vMost-DILI-concern,0.9,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,NQDJXKOVJZTUJA-UHFFFAOYSA-N,FDA_DILIrank_curated
Ticlopidine,,curated-Most,0.9,Clc1ccccc1CN1CCc2sccc2C1,PHWBOXQYWZNQIN-UHFFFAOYSA-N,FDA_DILIrank_curated
Tamoxifen,,curated-Most,0.55,CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,NKANXQFJJICGDU-OCEACIFDSA-N,FDA_DILIrank_curated
Ibuprofen,,vLess-DILI-concern,0.55,CC(C)Cc1ccc(C(C)C(=O)O)cc1,HEFNNWSXXWATRW-UHFFFAOYSA-N,FDA_DILIrank_curated
Naproxen,,vLess-DILI-concern,0.55,COc1ccc2cc(C(C)C(=O)O)ccc2c1,CMWTZPSULFXXJA-UHFFFAOYSA-N,FDA_DILIrank_curated
Leflunomide,,vMost-DILI-concern,0.9,Cc1c(C(=O)Nc2ccc(C(F)(F)F)cc2)c(=O)on1C,CTYOSDLMKUPCKS-UHFFFAOYSA-N,FDA_DILIrank_curated
Bosentan,,vMost-DILI-concern,0.9,COCCOCCOc1ccc(Nc2nc(C)nc(OC)n2)cc1NS(=O)(=O)c1ccc(C(=O)O)c(C(C)=O)c1,XCFJHMNSYGIULZ-UHFFFAOYSA-N,FDA_DILIrank_curated
Felbamate,,vMost-DILI-concern,0.9,NC(=O)OCC(COC(N)=O)c1ccccc1,WKGXYQFOCVYPAC-UHFFFAOYSA-N,FDA_DILIrank_curated
Benzbromarone,,vMost-DILI-concern,0.9,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,WHQCHUCQKNIQEC-UHFFFAOYSA-N,FDA_DILIrank_curated
Iproniazid,,vMost-DILI-concern,0.9,CC(C)NNC(=O)c1ccncc1,NYMGNSNKLVNMIA-UHFFFAOYSA-N,FDA_DILIrank_curated
Sulindac,,vMost-DILI-concern,0.9,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C/c1ccc(S(C)=O)cc1,MLKXDPUZXIRXEP-RQZCQDPDSA-N,FDA_DILIrank_curated
Allopurinol,,vMost-DILI-concern,0.9,O=c1[nH]cnc2[nH]ncc12,OFCNXPDARWKPPY-UHFFFAOYSA-N,FDA_DILIrank_curated
Carbamazepine,,vMost-DILI-concern,0.9,NC(=O)N1c2ccccc2C=Cc2ccccc21,FFGPTBGBLSHEPO-UHFFFAOYSA-N,FDA_DILIrank_curated
Phenobarbital,,curated-Most,0.9,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,DDBREPKUVSBGFI-UHFFFAOYSA-N,FDA_DILIrank_curated
Halothane,,curated-Most,0.9,FC(F)(F)C(Cl)Br,BCQZXOMGPXTTIC-UHFFFAOYSA-N,FDA_DILIrank_curated
Pyrazinamide,,vLess-DILI-concern,0.55,NC(=O)c1cnccn1,IPEHBUMCGVEMRF-UHFFFAOYSA-N,FDA_DILIrank_curated
Rifampicin,,curated-Most,0.9,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(c(O)c4c(O)c(C)c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)C(=O)/C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CWNXNXFQUUDENV-QESFBURUSA-N,FDA_DILIrank_curated
Erythromycin,,curated-Most,0.55,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,ULGZDMOVFRHVEP-DKVYIPSTSA-N,FDA_DILIrank_curated
Amoxicillin,,vLess-DILI-concern,0.55,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,FDA_DILIrank_curated
Fluconazole,,vMost-DILI-concern,0.9,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,RFHAOTPXVQNOHP-UHFFFAOYSA-N,FDA_DILIrank_curated
Atorvastatin,,curated-Most,0.55,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,XUKUURHRXDUEBC-KAYWLYCHSA-N,FDA_DILIrank_curated
Simvastatin,,vLess-DILI-concern,0.55,CCC(C)(C)C(=O)O[C@H]1C[C@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,RYMZZMVNJRMUDD-IPZVMSKVSA-N,FDA_DILIrank_curated
Lovastatin,,vLess-DILI-concern,0.55,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,PCZOHLXUXFIOCF-BXMDZJJMSA-N,FDA_DILIrank_curated
